,artist_name,title,execution_date,category,id,title_len,title_length
0,"Wright, Don",Turf-Arm,1984.0,Work on paper,85/6-0174,8,8
1,"Hansen, Jim",Nfld. album no. 99,1977.0,Work on paper,79/80-0510,18,18
2,"Creates, Marlene","A Stone Placed in Gathered Water, Newfoundland",1982.0,Photograph,92/3-0221,46,46
3,"Walker, Peter",1.25.79,1979.0,Work on paper,79/80-0529,7,7
4,"Bretzloff, Carol","Under Heaven, Wind",1983.0,Work on paper,13/4-0007,18,18
5,"Knight, Katherine",Bubble,2000.0,Photograph,01/2-0083,6,6
6,"Pitseolak, Okpik",The one who became a Norwhal,2002.0,Work on paper,03/4-0007,28,28
7,"Tang, Brendan Lee",Manga Ormolu ver. 4.0-g,2008.0,Sculpture,10/1-0067,23,23
8,"Savage, Roger",Great Island,1982.0,Work on paper,82/3-0670,12,12
9,"Porter, Ed",A Passing Fancy,1985.0,Work on paper,85/6-0277,15,15
10,"Forrest, Neil",Absinthe Goblet #3,1989.0,Sculpture,89/90-0138,18,18
11,"Parsons, Bruce",Apples After Adam,1973.0,Work on paper,74/5-0002,17,17
12,"Wood, Susan",Dress #3,1989.0,Work on paper,90/1-0432,8,8
13,"MacDonnell, William",Untitled/Sans titre,1979.0,Painting,79/80-0079,19,19
14,"Pope, Robert",Woman with Suitcase 1988,1988.0,Work on paper,89/90-0154,24,24
15,"Cameron, Eric","Orlando, Florida",1977.0,Other,79/80-0098,16,16
16,"Frank, Robert","Electric Dog in Mabou, Nova Scotia",1976.0,Photograph,77/8-0407,34,34
17,"Ross, Fred",The Bath,1977.0,Work on paper,78/9-0057,8,8
18,"Feist, Harold",Chien,1976.0,Painting,77/8-0220,5,5
19,"Doell, Margaret",Location Unknown,1992.0,Work on paper,94/5-0044,16,16
20,"Gallant, Yvon",L'artiste jeté aux chiens,1990.0,Painting,91/2-0406,25,25
21,"Badani, Pat",Romea,1983.0,Other,83/4-0194,5,5
22,"Caron, Nathalie",Mouchoir (Saint-Denys Garneau),1992.0,Work on paper,92/3-0907,30,30
23,"Labbé, Michel",Sans titre/Untitled,1973.0,Work on paper,72/3-1534,19,19
24,"Rémillard, Louis",Le tunnel,1990.0,Work on paper,92/3-0890,9,9
25,"Cornet, Lucienne",chasse croisé,1985.0,Work on paper,86/7-0687,13,13
26,"Dugas, Marc",Plus y fait chaud,1970.0,Work on paper,75/6-0908,17,17
27,"Bailey, Guy",Sans Titre #10,1983.0,Work on paper,86/7-0660,14,14
28,"Tétreault, Pierre-Léon",envoyons d'l'avant vers le pays du soleil levant,1974.0,Work on paper,75/6-0491,48,48
29,COZIC (Monic Brassard/Yvon Cozic),Tresse anti-stress,1973.0,Sculpture,74/5-0997,18,18
30,"Hurtubise, Jacques",Nika,1971.0,Work on paper,72/3-0201,4,4
31,"Hurtubise, Jacques",Taraboumba,1976.0,Painting,76/7-0542,10,10
32,"Derouin, René",Terre de Cuivre,1977.0,Work on paper,79/80-0002,15,15
33,"Robert, Louise",Mémoires accumulées,1983.0,Painting,86/7-0162,19,19
34,"Laplante, Miriam",sans titre/untitled,1984.0,Work on paper,87/8-0205,19,19
35,"McCall, Ann",Les Trois,1977.0,Work on paper,78/9-0439,9,9
36,"Merrett, Brian",Canadian Imperial Bank of Commerce Toronto,1977.0,Photograph,78/9-0462,42,42
37,"Tata, Sam","St. Denis Street, Montreal",1961.0,Photograph,75/6-0469,26,26
38,"Ayot, Pierre",Le moucheticaire,1970.0,Work on paper,72/3-2106,16,16
39,"Nadeau, Marc-Antoine",On déménage,1977.0,Work on paper,81/2-0261,11,11
40,"McEwen, Jean","Bleu Plages, Vertes",1976.0,Painting,79/80-0283,19,19
41,"Noel, Jean",Trimodulaire en noir,1968.0,Other,72/3-1895,20,20
42,"Forcier, Denis","""Boubou t'es timbrée""",1974.0,Work on paper,74/5-0681,21,21
43,"Belley, Irené",Vers là,1981.0,Work on paper,82/3-0131,7,7
44,"Erban, Daniel",The Kiss,1991.0,Work on paper,92/3-0820,8,8
45,"Rajotte, Normand","no.2 (de Dans les coins oubliés, à la recherche des dieux tranquilles)",1986.0,Photograph,89/90-0436,70,70
46,"Petry, Nancy",To Bear Odysseus Over The Breast Of The Broad Ocean,1973.0,Painting,74/5-0070,51,51
47,"Alexander, Vikky",Peruvian Parlor,2003.0,Painting,04/5-0036,15,15
48,"Cousineau, Sylvain",Poisson Ex Voto,1988.0,Painting,88/9-0399,15,15
49,"Wozniakowska, Kamila",Maître chanteur,1990.0,Work on paper,93/4-0317,15,15
50,"Tata, Sam","Jacques de Tonnancour, Artist, Montreal 1973",1973.0,Photograph,78/9-0298,44,44
51,"Simon, Cheryl",Summer Series 2,1987.0,Photograph,88/9-0460,15,15
52,"Campeau, Michel","Katowice, Pologne, 21.06.'83 from/de Extrait de l'exposition:""Pologne, Juin '83""",1983.0,Photograph,84/5-0378,80,80
53,"Tata, Sam","Nina Raginsky, Photographer, Victoria 1973",1973.0,Photograph,78/9-0315,42,42
54,"Molinari, Guido",Opposition triangulaire,1971.0,Work on paper,72/3-1932,23,23
55,"Lavoie, Raymond",Souvenir de Bournemouth no. 4-2,1979.0,Work on paper,80/1-0061,31,31
56,"Gaucher, Yves",Transitions I-VIII,1967.0,Work on paper,74/5-0955,18,18
57,"Lake, Suzy",Simulation of myself,1974.0,Work on paper,75/6-0061,20,20
58,"Horvat, Miljenko",Photodécollage: Paris,1973.0,Photograph,75/6-0570,21,21
59,"Laframboise, Alain",Veduta #1,1989.0,Photograph,89/90-0322,9,9
60,"Readman, Sylvie",Les rets de la représentation,1987.0,Photograph,87/8-0589,29,29
61,"Gasoi, Marvin",Children,1981.0,Photograph,84/5-0530,8,8
62,"Bourassa, Marie",Hôpital général,1989.0,Work on paper,89/90-0217,15,15
63,"Campeau, Michel","Le Pommier, Les Éboulements, Québec, 1989",1991.0,Photograph,92/3-0809,41,41
64,"Gaudard, Pierre",Les Pénitenciers 2201.7,1975.0,Photograph,76/7-0182,23,23
65,"McEwen, Jean",Les quatre saisons,1973.0,Work on paper,73/4-0870,18,18
66,"Veltkamp, Michel",Bol Blanche,1989.0,Work on paper,89/90-0283,11,11
67,"Malagoni-Levin, Graziella",Wood,1974.0,Work on paper,74/5-0357,4,4
68,"Cowles, D.R.",Two Trees and Hay Rolls,1990.0,Photograph,90/1-0515,23,23
69,"Boogaerts, Pierre",Screen Series: Street Skies (29th St.) NY,1978.0,Photograph,80/1-0387,41,41
70,"Grenon, Marcial",Sans titre 1983,1983.0,Work on paper,87/8-0084,15,15
71,"Stewart, J.W.",Problem,1991.0,Work on paper,91/2-0450,7,7
72,"Johnson, Harlan",Dispersions J,1992.0,Work on paper,92/3-0643,13,13
73,"Gaudard, Pierre",Vichy Juin '80 (93),1980.0,Photograph,81/2-0323,19,19
74,"Forcier, Denis",A) Ma fille m'a conté (1/12) B) La journée sur la corde à linge(2/12) (poème de/poem by Jocelyne Sanschagrin),1979.0,Work on paper,81/2-0281,109,109
75,"Ristvedt, Milly",Carnival Green,1970.0,Painting,72/3-1660,14,14
76,"Bigras, Sylvain",Mal y vie qui mal y campe,1992.0,Painting,92/3-0771,25,25
77,"Tousignant, Serge",Neuf coins d'atelier,1973.0,Work on paper,74/5-1038,20,20
78,"Wozniakowska, Kamila",Pas de deux VI,1993.0,Work on paper,93/4-0092,14,14
79,"Hughes, Lynn",Untitled # 3,1979.0,Painting,80/1-0231,12,12
80,"Smith, Michael",#2 (from Daylight series),1992.0,Painting,93/4-0175,25,25
81,"Low, Shelly",Excerpt # 2,1993.0,Sculpture,94/5-0248,11,11
82,"Juneau, Denis",Sans Titre (Rouge),1979.0,Painting,79/80-0255,18,18
83,"King, Holly",River of Wailing,1986.0,Work on paper,87/8-0110,16,16
84,"Prince, Jocelyne",Rouleaux à pâte,1991.0,Other,92/3-0858,15,15
85,"Miller, David",20th Century Burial Ground with Ceremonial Objects Behind PrecastConcrete Wall,1981.0,Photograph,89/90-0550,78,78
86,"Alleyn, Edmund",Son plus cher desir,1992.0,Work on paper,93/4-0039,19,19
87,"Johnston, Lynnie",Cookie,1981.0,Photograph,86/7-0730,6,6
88,"Wolfe, Robert",Terre fumante,1979.0,Work on paper,81/2-0234,13,13
89,"Delorme, Louise",Inside Out,1991.0,Work on paper,91/2-0467,10,10
90,"Walker, John",Old Woman Bay,1973.0,Photograph,76/7-0139,13,13
91,"Nolte, Gunter","One Sheet, Eighteen Cuts, Four Folds",1983.0,Work on paper,85/6-0138,36,36
92,"Cousineau, Sylvain",Seperate Paintings,1983.0,Other,83/4-0085,18,18
93,"Cmoc, Bohdanna Horich",untitled/sans titre (Autoportrait),1985.0,Work on paper,85/6-0580,34,34
