created_at,lang
2015-03-09 21:00:45,es
2015-03-09 21:00:45,fr
2015-03-09 21:00:45,es
2015-03-09 21:00:45,es
2015-03-09 21:00:45,fr
2015-03-09 21:00:46,en
2015-03-09 21:00:46,ru
2015-03-09 21:00:46,ja
2015-03-09 21:00:46,en
2015-03-09 21:00:46,es
2015-03-09 21:00:46,en
2015-03-09 21:00:46,en
2015-03-09 21:00:46,ru
2015-03-09 21:00:46,en
2015-03-09 21:00:46,ru
2015-03-09 21:00:46,en
2015-03-09 21:00:46,en
2015-03-09 21:00:46,en
2015-03-09 21:00:46,es
2015-03-09 21:00:46,en
2015-03-09 21:00:46,en
2015-03-09 21:00:47,en
2015-03-09 21:00:47,ja
2015-03-09 21:00:47,en
2015-03-09 21:00:47,fr
2015-03-09 21:00:47,en
2015-03-09 21:00:47,ru
2015-03-09 21:00:47,en
2015-03-09 21:00:47,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,pl
2015-03-09 21:00:48,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,es
2015-03-09 21:00:48,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,en
2015-03-09 21:00:48,de
2015-03-09 21:00:48,es
2015-03-09 21:00:49,en
2015-03-09 21:00:49,en
2015-03-09 21:00:49,ja
2015-03-09 21:00:49,en
2015-03-09 21:00:49,en
2015-03-09 21:00:49,en
2015-03-09 21:00:49,ru
2015-03-09 21:00:49,de
2015-03-09 21:00:49,en
2015-03-09 21:00:49,ru
2015-03-09 21:00:49,ru
2015-03-09 21:00:50,en
2015-03-09 21:00:50,en
2015-03-09 21:00:50,en
2015-03-09 21:00:50,ja
2015-03-09 21:00:50,de
2015-03-09 21:00:50,en
2015-03-09 21:00:50,de
2015-03-09 21:00:50,tr
2015-03-09 21:00:50,ru
2015-03-09 21:00:51,en
2015-03-09 21:00:51,en
2015-03-09 21:00:51,en
2015-03-09 21:00:51,it
2015-03-09 21:00:51,en
2015-03-09 21:00:51,tr
2015-03-09 21:00:51,en
2015-03-09 21:00:51,en
2015-03-09 21:00:52,ja
2015-03-09 21:00:52,en
2015-03-09 21:00:52,en
2015-03-09 21:00:52,en
2015-03-09 21:00:52,en
2015-03-09 21:00:52,en
2015-03-09 21:00:53,en
2015-03-09 21:00:53,en
2015-03-09 21:00:53,en
2015-03-09 21:00:53,tr
2015-03-09 21:00:53,en
2015-03-09 21:00:53,ru
2015-03-09 21:00:53,en
2015-03-09 21:00:53,en
2015-03-09 21:00:53,ja
2015-03-09 21:00:54,en
2015-03-09 21:00:54,es
2015-03-09 21:00:54,en
2015-03-09 21:00:54,en
2015-03-09 21:00:54,ru
2015-03-09 21:00:54,es
2015-03-09 21:00:54,en
2015-03-09 21:00:54,en
2015-03-09 21:00:55,ja
2015-03-09 21:00:55,en
2015-03-09 21:00:55,de
2015-03-09 21:00:55,es
2015-03-09 21:00:55,en
2015-03-09 21:00:55,id
2015-03-09 21:00:55,ru
2015-03-09 21:00:55,en
2015-03-09 21:00:55,en
2015-03-09 21:00:55,en
2015-03-09 21:00:55,en
2015-03-09 21:00:55,ja
2015-03-09 21:00:56,en
2015-03-09 21:00:56,en
2015-03-09 21:00:56,en
2015-03-09 21:00:56,en
2015-03-09 21:00:57,en
2015-03-09 21:00:57,en
2015-03-09 21:00:57,ja
2015-03-09 21:00:57,en
2015-03-09 21:00:57,en
2015-03-09 21:00:57,en
2015-03-09 21:00:57,ja
2015-03-09 21:00:57,en
2015-03-09 21:00:58,es
2015-03-09 21:00:58,en
2015-03-09 21:00:58,en
2015-03-09 21:00:58,fr
2015-03-09 21:00:58,en
2015-03-09 21:00:58,en
2015-03-09 21:00:59,es
2015-03-09 21:00:59,en
2015-03-09 21:00:59,en
2015-03-09 21:00:59,en
2015-03-09 21:00:59,en
2015-03-09 21:01:00,en
2015-03-09 21:01:00,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,en
2015-03-09 21:01:01,ja
2015-03-09 21:01:01,nl
2015-03-09 21:01:01,id
2015-03-09 21:01:01,en
2015-03-09 21:01:01,ru
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:02,es
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:02,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,th
2015-03-09 21:01:03,en
2015-03-09 21:01:03,fr
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:03,en
2015-03-09 21:01:04,ja
2015-03-09 21:01:04,en
2015-03-09 21:01:04,en
2015-03-09 21:01:04,ja
2015-03-09 21:01:04,en
2015-03-09 21:01:04,ja
2015-03-09 21:01:04,en
2015-03-09 21:01:04,es
2015-03-09 21:01:04,ja
2015-03-09 21:01:04,es
2015-03-09 21:01:04,en
2015-03-09 21:01:05,es
2015-03-09 21:01:05,en
2015-03-09 21:01:05,ja
2015-03-09 21:01:05,id
2015-03-09 21:01:05,en
2015-03-09 21:01:05,en
2015-03-09 21:01:05,en
2015-03-09 21:01:05,ja
2015-03-09 21:01:05,en
2015-03-09 21:01:05,ja
2015-03-09 21:01:05,en
2015-03-09 21:01:05,en
2015-03-09 21:01:05,en
2015-03-09 21:01:05,es
2015-03-09 21:01:06,ja
2015-03-09 21:01:06,en
2015-03-09 21:01:06,ar
2015-03-09 21:01:06,tr
2015-03-09 21:01:06,en
2015-03-09 21:01:06,en
2015-03-09 21:01:06,en
2015-03-09 21:01:06,gl
2015-03-09 21:01:06,en
2015-03-09 21:01:06,en
2015-03-09 21:01:06,en
2015-03-09 21:01:07,fr
2015-03-09 21:01:07,id
